account,avg_daily_pnl,total_pnl,avg_trades_per_day,avg_trade_size_usd,avg_gross_volume_usd,avg_effective_leverage,avg_win_rate,pnl_std,active_days,positive_day_ratio,frequency_segment,leverage_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,66676.242499125,1600229.819979,159.08333333333334,33569.102223713766,2570719.3320833337,3937.377146890282,0.35233288809198676,150401.79734551374,24,0.6666666666666666,Frequent,High Leverage,Consistent Winners
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,920.8715483461539,47885.320514,140.0,4359.8309302466505,231451.68576923077,1127.4702009017508,0.39713376753982704,3603.0422910248762,52,0.5576923076923077,Frequent,High Leverage,Inconsistent
0x271b280974205ca63b716753467d5a371de622ab,-5869.682609833333,-70436.191318,317.4166666666667,11057.118418553686,2822786.7016666667,1709.1202853260775,0.3799521001942577,33420.410013838264,12,0.6666666666666666,Frequent,High Leverage,Consistent Winners
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,817.6840404567902,132464.814554,82.16666666666667,484.8442941619222,41710.01296296296,25.558086792608634,0.4525088144750888,2993.2847018942703,162,0.8888888888888888,Frequent,Low Leverage,Consistent Winners
0x2c229d22b100a7beb69122eed721cee9b24011dd,2444.3189129565217,168658.004994,46.94202898550725,2553.7570373757217,147346.08985507247,248.651612274049,0.498708261557744,4867.743468797182,69,0.782608695652174,Infrequent,Low Leverage,Consistent Winners
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-725.6651159534885,-31203.599986,18.953488372093023,1613.2556722621034,32788.41860465116,30.619046183359593,0.2662149612452762,10110.280939662283,43,0.32558139534883723,Infrequent,Low Leverage,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,314.2808551304348,14456.919336,78.02173913043478,28188.549085190585,373769.03086956526,2999.6885315752834,0.36468216478488236,14586.482779999604,46,0.5434782608695652,Frequent,High Leverage,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1910.5802586785717,53496.247243000005,11.857142857142858,9812.51560528366,40853.445,3040.0492422705947,0.45689935064935067,5774.468515461302,28,0.5357142857142857,Infrequent,High Leverage,Inconsistent
0x420ab45e0bd8863569a5efbb9c05d91f40624641,9975.2796366,199505.592732,19.15,8334.762260556681,99376.3805,238.71519328398358,0.42995901639344264,20797.39604487325,20,0.5,Infrequent,Low Leverage,Inconsistent
0x430f09841d65beb3f27765503d0f850b8bce7713,14876.49544075,416541.872341,44.17857142857143,2525.945975144083,105932.47214285715,269.45522709967446,0.2026689708141321,32725.08326015729,28,0.25,Infrequent,Low Leverage,Inconsistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,717.6646955625,103343.716161,59.15972222222222,516.6442989710463,30616.867361111115,13.423045851422147,0.3639104417771443,2484.2443189649503,144,0.8194444444444444,Infrequent,Low Leverage,Consistent Winners
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,11685.293976603449,677747.050643,75.10344827586206,16024.724760769133,682292.2284482758,2259.1846075882913,0.426408492962711,25344.268484609507,58,0.6724137931034483,Frequent,High Leverage,Consistent Winners
0x4f93fead39b70a1824f981a54d4e55b278e9f760,962.5416502056074,308975.869716,23.626168224299064,16038.456425115373,403964.26566978195,954.0820976615979,0.30121366471109007,7430.255413150263,321,0.6043613707165109,Infrequent,High Leverage,Consistent Winners
0x513b8629fe877bb581bf244e326a047b249c4ff1,21549.296287589743,840422.555216,313.7435897435897,27603.84521556422,10791706.573333334,763.6097185473286,0.3254950998749796,42171.74469920306,39,0.5641025641025641,Frequent,High Leverage,Consistent Winners
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2313.4301440851063,108731.216772,20.74468085106383,867.1703611532234,15490.585319148937,170.9322991952082,0.3411133250429654,7470.04650016332,47,0.574468085106383,Infrequent,Low Leverage,Consistent Winners
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,22597.66136394737,429355.565915,83.6842105263158,9367.295108536868,603921.1010526316,31.143483899243698,0.20335120373383359,80215.01097553849,19,0.21052631578947367,Frequent,Low Leverage,Inconsistent
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,5546.761692753847,360539.510029,21.907692307692308,4688.041802175383,45576.54569230769,414.42615091731295,0.21355719975901696,23406.44232359817,65,0.24615384615384617,Infrequent,High Leverage,Inconsistent
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2596.5438815821917,379095.406711,67.76027397260275,3354.2092903010684,176229.43315068493,1285.7187005692626,0.7105283610078542,4762.374293945578,146,0.910958904109589,Frequent,High Leverage,Consistent Winners
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,573.0939633461538,14900.443047,59.96153846153846,6760.1144210194525,224787.86346153848,1142.0567800677782,0.43590574641442353,873.4108109517282,26,0.6153846153846154,Frequent,High Leverage,Consistent Winners
0x8170715b3b381dffb7062c0298972d4727a0a63b,-1821.9687476195652,-167621.124781,50.01086956521739,2782.687344213111,110258.24054347827,10.81749940936453,0.32028170644220266,38190.08942383133,92,0.42391304347826086,Infrequent,Low Leverage,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1213.215887148148,65513.657906,35.388888888888886,5475.174210575846,222206.91425925927,823.0592622339776,0.1888747291211057,5511.299034566663,54,0.3888888888888889,Infrequent,High Leverage,Inconsistent
