account,avg_daily_pnl,pnl_std,avg_win_rate,avg_trades_per_day,avg_trade_size_usd,avg_effective_leverage,avg_long_short_ratio,active_days,fear_exposure,greed_exposure,cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,66676.242499125,150401.79734551374,0.35233288809198676,159.08333333333334,33569.102223713766,3937.377146890282,8.264352265873065,24,0.2916666666666667,0.5,2,Archetype A
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,920.8715483461539,3603.0422910248762,0.39713376753982704,140.0,4359.8309302466505,1127.4702009017508,8.336892967218342,52,0.38461538461538464,0.5192307692307693,1,Archetype B
0x271b280974205ca63b716753467d5a371de622ab,-5869.682609833333,33420.410013838264,0.3799521001942577,317.4166666666667,11057.118418553686,1709.1202853260775,2.197174616702627,12,0.4166666666666667,0.4166666666666667,0,Archetype C
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,817.6840404567902,2993.2847018942703,0.4525088144750888,82.16666666666667,484.8442941619222,25.558086792608634,2.0520966391929667,162,0.3333333333333333,0.5123456790123457,1,Archetype B
0x2c229d22b100a7beb69122eed721cee9b24011dd,2444.3189129565217,4867.743468797182,0.498708261557744,46.94202898550725,2553.7570373757217,248.651612274049,0.7509454686333269,69,0.21739130434782608,0.6666666666666666,1,Archetype B
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-725.6651159534885,10110.280939662283,0.2662149612452762,18.953488372093023,1613.2556722621034,30.619046183359593,3.217382895282529,43,0.3488372093023256,0.5116279069767442,1,Archetype B
0x39cef799f8b69da1995852eea189df24eb5cae3c,314.2808551304348,14586.482779999604,0.36468216478488236,78.02173913043478,28188.549085190585,2999.6885315752834,3.05545824716237,46,0.391304347826087,0.4782608695652174,0,Archetype C
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1910.5802586785717,5774.468515461302,0.45689935064935067,11.857142857142858,9812.51560528366,3040.0492422705947,4.664202166880739,28,0.25,0.6785714285714286,1,Archetype B
0x420ab45e0bd8863569a5efbb9c05d91f40624641,9975.2796366,20797.39604487325,0.42995901639344264,19.15,8334.762260556681,238.71519328398358,4.112151880989264,20,0.35,0.5,1,Archetype B
0x430f09841d65beb3f27765503d0f850b8bce7713,14876.49544075,32725.08326015729,0.2026689708141321,44.17857142857143,2525.945975144083,269.45522709967446,6.600124197521033,28,0.42857142857142855,0.39285714285714285,1,Archetype B
