trade_date,account,daily_pnl,trades_per_day,win_rate,loss_rate,avg_trade_size_usd,gross_volume_usd,buy_ratio,sell_ratio,long_trades,short_trades,avg_effective_leverage,pnl_std,drawdown_proxy,long_short_ratio,date,classification,value,sentiment_bucket
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,3,0.0,0.0,159.0,477.0,1.0,0.0,3,0,61.59315547623911,0.0,0.0,4.0,2023-05-01,Greed,63,Greed
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,9,0.0,0.0,5556.203333333334,50005.83,0.7777777777777778,0.2222222222222222,7,2,196.87395963404254,0.0,0.0,2.6666666666666665,2023-12-05,Extreme Greed,75,Greed
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,11,0.36363636363636365,0.18181818181818182,10291.213636363636,113203.35,0.45454545454545453,0.5454545454545454,5,6,1394.4639325293235,179.66353383090035,-205.43473700000007,0.8571428571428571,2023-12-14,Greed,72,Greed
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,2,0.0,1.0,5304.975,10609.95,1.0,0.0,2,0,0.8140644579263914,4.474304424985184,-24.632033999999997,3.0,2023-12-15,Greed,70,Greed
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,3,0.0,0.0,5116.256666666667,15348.77,1.0,0.0,3,0,1560.5925397559038,0.0,0.0,4.0,2023-12-16,Greed,67,Greed
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,14,0.5,0.2857142857142857,8305.572857142857,116278.02,0.21428571428571427,0.7857142857142857,3,11,2909.1438880916903,43.51261683426808,0.0,0.3333333333333333,2023-12-17,Greed,73,Greed
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0.0,0.0,15582.089999999998,31164.179999999997,1.0,0.0,2,0,853.8400251801684,0.0,0.0,3.0,2023-12-18,Greed,65,Greed
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.5386120000001,15,0.6666666666666666,0.0,6106.827333333334,91602.41,0.3333333333333333,0.6666666666666666,5,10,314.92704519156644,183.73537011741135,0.0,0.5454545454545454,2023-12-19,Greed,73,Greed
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,18,0.4444444444444444,0.0,7868.710555555556,141636.79,0.5555555555555556,0.4444444444444444,10,8,1193.3203116296208,21.3481314287044,0.0,1.2222222222222223,2023-12-20,Greed,74,Greed
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,49,0.5306122448979592,0.02040816326530612,2555.795306122449,125233.97,0.4489795918367347,0.5510204081632653,22,27,186.9896977100405,20.811624735703514,0.0,0.8214285714285714,2023-12-21,Greed,70,Greed
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,10,0.2,0.0,8887.428,88874.28,0.8,0.2,8,2,1299.2967190212933,40.92671758278208,0.0,3.0,2023-12-22,Greed,74,Greed
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,13,0.6153846153846154,0.0,6033.711538461538,78438.25,0.38461538461538464,0.6153846153846154,5,8,400.12676511517196,11.478402785910806,0.0,0.6666666666666666,2023-12-23,Greed,70,Greed
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1008.619956,39,0.38461538461538464,0.05128205128205128,10332.177948717948,402954.94,0.5384615384615384,0.46153846153846156,21,18,359.5622593709721,52.267012077476366,0.0,1.1578947368421053,2023-12-24,Greed,71,Greed
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-245.081348,3,0.0,0.3333333333333333,19982.836666666666,59948.51,0.6666666666666666,0.3333333333333333,2,1,349.16467398209466,141.49778224115633,-245.081348,1.5,2023-12-25,Greed,73,Greed
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-704.8892269999999,28,0.14285714285714285,0.32142857142857145,6121.823571428571,171411.06,0.5357142857142857,0.4642857142857143,15,13,660.2221165207587,153.67464419092525,-704.8892269999999,1.1428571428571428,2023-12-27,Greed,73,Greed
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,23,0.0,0.5652173913043478,4352.923913043478,100117.25,0.43478260869565216,0.5652173913043478,10,13,333.59610950901765,55.01514381004261,-970.730876,0.7857142857142857,2023-12-28,Greed,73,Greed
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,508.92214299999995,50,0.3,0.1,11391.1944,569559.72,0.62,0.38,31,19,2024.71969634957,78.11192586732814,0.0,1.6,2023-12-29,Greed,65,Greed
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,354.998648,52,0.4423076923076923,0.19230769230769232,13510.58096153846,702550.21,0.38461538461538464,0.6153846153846154,20,32,2069.868144042709,68.40190063585914,0.0,0.6363636363636364,2023-12-30,Greed,68,Greed
