sentiment_bucket,avg_daily_pnl,median_daily_pnl,avg_win_rate,avg_drawdown_proxy,avg_trades_per_day,avg_trade_size_usd,avg_buy_ratio,avg_long_short_ratio,avg_effective_leverage,avg_gross_volume_usd,accounts_days
Fear,5185.146443205063,122.73703799999998,0.35707081909219934,-1101.4498951050632,105.3632911392405,8529.859802485056,0.521511899109334,8.219182813697072,552.9303356810615,756720.3180126583,790
Greed,4144.208333580919,265.24772500000006,0.36274771314398035,-926.1595383279388,76.91226575809199,5954.63263265916,0.47227584624212327,5.707994319852172,616.7206093139617,351829.35203577514,1174
Neutral,3438.6188179521278,167.551743,0.35541409810875263,-768.4481532712766,100.22872340425532,6963.694860853634,0.47243090229040535,6.240886096365031,1319.6136479174572,479367.18904255313,376
